City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,waitangi,-43.9535,-176.5597,15.46,90,100,4.92,NZ,1684516156
1,paciran,-6.8767,112.3761,24.75,86,91,2.91,ID,1684516156
2,port mathurin,-19.6833,63.4167,25.56,76,7,5.69,MU,1684516156
3,udachny,66.4167,112.4,4.14,69,91,5.55,RU,1684516157
4,altai,46.3722,96.2583,-1.79,25,27,1.49,MN,1684516157
5,longyearbyen,78.2186,15.6401,-3.09,63,75,3.09,SJ,1684516157
6,sinabang,2.4803,96.3801,27.23,80,88,2.25,ID,1684516157
7,la passe,45.5549,-0.8967,21.13,59,46,5.35,FR,1684516158
8,grytviken,-54.2811,-36.5092,2.78,96,100,2.08,GS,1684516158
9,viqueque,-8.8673,126.3658,22.3,74,68,1.13,TL,1684516158
10,port-aux-francais,-49.35,70.2167,4.76,61,6,11.99,TF,1684516158
11,iqaluit,63.7506,-68.5145,-4.61,68,94,4.02,CA,1684516159
12,hamilton,39.1834,-84.5333,26.43,60,40,4.12,US,1684516114
13,iskateley,67.6803,53.1512,2.44,72,50,4.58,RU,1684516159
14,mejit,10.2753,170.8646,27.06,83,99,4.51,MH,1684515680
15,monte alegre de sergipe,-10.0272,-37.5622,27.3,66,100,5.98,BR,1684516007
16,west island,-12.1568,96.8225,25.99,89,100,4.63,CC,1684516160
17,blackmans bay,-43.0167,147.3167,4.74,91,65,2.64,AU,1684516160
18,khandyga,62.6667,135.6,3.89,70,100,1.67,RU,1684516160
19,enewetak,11.3474,162.3373,26.93,81,96,5.72,MH,1684516160
20,sarriguren,42.8106,-1.5927,14.45,54,75,8.75,ES,1684516161
21,pekanbaru,0.5333,101.45,24.2,97,100,0.49,ID,1684516161
22,kamaishi,39.2667,141.8833,12.77,96,100,2.98,JP,1684516161
23,edinburgh of the seven seas,-37.0676,-12.3116,17.65,93,100,6.57,SH,1684516161
24,lorengau,-2.0226,147.2712,27.59,80,99,10.18,PG,1684515685
25,alo,7.4178,6.7371,32.93,55,94,2.93,NG,1684515700
26,maragogi,-9.0122,-35.2225,27.83,70,72,4.07,BR,1684515688
27,naze,28.3667,129.4833,20.2,89,58,4.3,JP,1684516162
28,kapuskasing,49.4169,-82.4331,8.56,92,100,2.89,CA,1684516142
29,invercargill,-46.4,168.35,9.53,94,100,1.84,NZ,1684515590
30,newman,37.3138,-121.0208,25.19,37,5,1.34,US,1684516163
31,mossel bay,-34.1831,22.146,13.96,73,88,1.42,ZA,1684515992
32,anadyr,64.75,177.4833,-0.72,92,100,1.0,RU,1684516163
33,kingston,17.997,-76.7936,32.36,67,20,10.29,JM,1684515977
34,hammerfest,70.6634,23.6821,8.25,87,75,5.14,NO,1684516164
35,sitka,57.0531,-135.33,11.94,82,75,3.09,US,1684516164
36,uturoa,-16.7333,-151.4333,27.48,75,1,3.01,PF,1684516164
37,port elizabeth,-33.918,25.5701,13.94,96,76,1.48,ZA,1684516164
38,pisco,-13.7,-76.2167,24.03,64,20,7.2,PE,1684516165
39,sarina,-21.4333,149.2167,13.12,61,0,2.25,AU,1684516165
40,weno,7.4515,151.8468,27.97,83,100,4.12,FM,1684516165
41,port saint john's,-31.6229,29.5448,16.34,76,96,4.42,ZA,1684516165
42,coahuayana de hidalgo,18.7,-103.6583,32.77,40,96,2.54,MX,1684515716
43,baotou,40.6522,109.8222,10.44,12,22,4.59,CN,1684516166
44,kerben,40.2951,72.1863,19.28,61,100,1.49,KG,1684516166
45,mazara del vallo,37.6641,12.588,23.08,58,100,12.29,IT,1684516166
46,cabo san lucas,22.8909,-109.9124,27.01,59,75,4.63,MX,1684515913
47,vorgashor,67.5833,63.95,4.68,97,100,4.36,RU,1684516167
48,avarua,-21.2078,-159.775,22.03,78,20,1.54,CK,1684516167
49,adamstown,-25.066,-130.1015,24.13,75,27,8.21,PN,1684516167
50,tazovsky,67.4667,78.7,2.49,96,89,3.16,RU,1684515636
51,puerto ayora,-0.7393,-90.3518,30.98,90,64,3.58,EC,1684516168
52,albany,42.6001,-73.9662,20.57,55,36,2.68,US,1684516149
53,constantia,44.1833,28.65,19.38,68,9,5.29,RO,1684516168
54,bilibino,68.0546,166.4372,1.52,92,64,0.93,RU,1684516168
55,san antonio de pale,-1.4014,5.6325,27.0,78,100,8.24,GQ,1684516168
56,manta,-0.95,-80.7333,27.71,72,84,2.8,EC,1684516169
57,saynshand,44.8824,110.1163,6.65,29,1,13.16,MN,1684516169
58,ma'rib,15.4591,45.3253,29.58,34,59,4.71,YE,1684516169
59,mohale's hoek,-30.1514,27.4769,8.63,58,2,0.76,LS,1684516169
60,tarija,-21.5355,-64.7296,23.86,36,100,3.26,BO,1684516170
61,puerto natales,-51.7236,-72.4875,8.25,61,40,10.8,CL,1684516064
62,bredasdorp,-34.5322,20.0403,11.94,70,63,2.56,ZA,1684515579
63,hawaiian paradise park,19.5933,-154.9731,22.72,94,20,2.06,US,1684516170
64,mungaa,-4.9667,34.8833,21.48,46,89,1.75,TZ,1684516167
65,arraial do cabo,-22.9661,-42.0278,23.92,57,40,3.09,BR,1684516171
66,labasa,-16.4167,179.3833,25.87,91,45,0.78,FJ,1684516171
67,mahina,-17.5065,-149.489,25.87,73,75,1.54,PF,1684515695
68,bethel,41.3712,-73.414,20.35,59,100,4.63,US,1684516171
69,castillos,-34.1667,-53.8333,21.31,62,24,2.11,UY,1684516172
70,whangarei,-35.7317,174.3239,14.88,89,94,4.68,NZ,1684516172
71,harper,4.375,-7.7169,26.11,91,100,3.1,LR,1684515640
72,kyzylorda,44.8528,65.5092,18.36,50,42,2.74,KZ,1684516172
73,whitehorse,60.7161,-135.0538,17.28,34,17,1.58,CA,1684516172
74,saudarkrokur,65.7461,-19.6394,11.45,72,100,11.01,IS,1684515598
75,carnarvon,-24.8667,113.6333,22.35,33,8,7.53,AU,1684516173
76,stanley,54.868,-1.6985,15.44,67,20,3.6,GB,1684516173
77,tazacorte,28.629,-17.9293,21.54,74,40,6.17,ES,1684516173
78,dinar,38.065,30.1656,12.98,79,84,1.6,TR,1684516173
79,torghay,49.6339,63.4981,14.08,84,100,4.22,KZ,1684516174
80,fort bragg,35.139,-79.006,18.91,96,100,5.14,US,1684516174
81,paracuru,-3.41,-39.0306,29.5,77,97,5.02,BR,1684516174
82,ribeira grande,38.5167,-28.7,20.22,64,40,3.6,PT,1684516174
83,bayganin,48.6947,55.8742,16.06,59,68,2.05,KZ,1684516175
84,uribia,11.7139,-72.266,33.74,49,57,9.23,CO,1684516175
85,jamestown,42.097,-79.2353,21.77,61,75,6.69,US,1684516175
86,anshun,26.25,105.9333,17.24,97,90,2.18,CN,1684516175
87,brokopondo,4.75,-55.1667,26.31,83,92,0.33,SR,1684515674
88,fale old settlement,-9.3852,-171.2468,28.81,77,34,7.03,TK,1684516176
89,am timan,11.0297,20.2827,37.78,18,98,2.86,TD,1684516176
90,buta,2.7858,24.73,23.97,80,100,0.72,CD,1684516176
91,ushuaia,-54.8,-68.3,3.79,78,63,2.9,AR,1684516176
92,badger,64.8,-147.5333,16.93,34,40,5.14,US,1684516177
93,charlottetown,46.2352,-63.1267,17.53,44,100,9.77,CA,1684515967
94,livingstone,-17.8419,25.8543,22.93,25,42,0.63,ZM,1684516177
95,plettenberg bay,-34.0527,23.3716,13.93,79,81,0.65,ZA,1684515671
96,alofi,-19.0595,-169.9187,25.87,78,79,8.68,NU,1684516177
97,puerto santa,-8.9906,-78.6456,20.97,92,7,6.23,PE,1684515663
98,howard springs,-12.497,131.047,20.95,70,98,2.5,AU,1684516178
99,san pedro pochutla,15.7333,-96.4667,34.84,45,94,2.93,MX,1684516133
100,atafu village,-8.5421,-172.5159,28.91,73,61,8.8,TK,1684516178
101,lihue,21.9789,-159.3672,21.77,95,100,1.54,US,1684516178
102,san agustin de valle fertil,-30.6335,-67.4682,20.5,46,17,1.84,AR,1684516179
103,santo antonio do ica,-3.1022,-67.9397,33.5,50,82,1.63,BR,1684516179
104,tofol,5.3248,163.0078,27.1,81,99,3.13,FM,1684516179
105,vordingborg,55.008,11.9106,14.43,66,52,4.87,DK,1684516180
106,lompoc,34.6391,-120.4579,19.83,100,100,2.06,US,1684516180
107,maumere,-8.6199,122.2111,25.63,71,91,5.02,ID,1684516180
108,minas de marcona,-15.2119,-75.1103,19.57,59,45,6.72,PE,1684515667
109,camabatela,-8.1881,15.375,20.88,82,100,1.25,AO,1684516181
110,saint-pierre,-21.3393,55.4781,23.82,83,20,3.09,RE,1684516181
111,saldanha,-33.0117,17.9442,13.93,77,60,2.86,ZA,1684516181
112,namibe,-15.1961,12.1522,21.99,68,0,5.09,AO,1684516181
113,nantucket,41.2835,-70.0995,17.03,72,0,4.63,US,1684516182
114,grand falls-windsor,48.9332,-55.6649,15.84,38,91,3.58,CA,1684516182
115,shigony,53.3875,48.6777,12.58,73,8,3.0,RU,1684516182
116,yuzhno-kurilsk,44.0306,145.8556,5.7,93,100,1.24,RU,1684516182
117,bonthe,7.5264,-12.505,26.88,75,100,1.7,SL,1684516182
118,porto novo,6.4965,2.6036,31.9,73,97,4.09,BJ,1684515740
119,salinopolis,-0.6136,-47.3561,27.92,85,98,4.12,BR,1684516183
120,cill airne,52.05,-9.5167,16.03,67,40,3.6,IE,1684516183
121,choele choel,-39.2667,-65.6833,15.81,25,1,7.68,AR,1684516183
122,badou,7.5833,0.6,28.61,74,76,0.92,TG,1684516160
123,buka,40.8108,69.1986,21.06,47,67,2.98,UZ,1684516184
124,hadibu,12.65,54.0333,30.01,76,46,2.17,YE,1684516184
125,nar'yan-mar,67.6713,53.087,2.55,72,50,4.56,RU,1684516184
126,gadzhiyevo,69.2551,33.3362,10.42,65,100,6.48,RU,1684516185
127,cabinda,-5.55,12.2,25.64,83,99,4.04,AO,1684516185
128,papatowai,-46.5619,169.4708,10.18,95,100,1.89,NZ,1684516185
129,sandnessjoen,66.0217,12.6316,11.47,82,75,7.72,NO,1684516185
130,aasiaat,68.7098,-52.8699,0.51,88,94,3.05,GL,1684516186
131,belem,-1.4558,-48.5044,31.02,62,75,3.09,BR,1684515610
132,jutai,-5.1833,-68.9,28.11,89,88,1.63,BR,1684516186
133,csorvas,46.6333,20.8333,21.07,78,16,2.53,HU,1684516186
134,chonchi,-42.6128,-73.8092,9.51,58,34,0.97,CL,1684516187
135,olyokminsk,60.3736,120.4264,2.76,62,49,0.77,RU,1684516187
136,al mutayrifi,25.4788,49.5576,29.91,39,60,6.89,SA,1684516187
137,pascagoula,30.3658,-88.5561,29.4,68,75,3.6,US,1684515973
138,tiksi,71.6872,128.8694,-0.34,82,100,12.81,RU,1684516187
139,tukrah,32.5341,20.5791,27.9,33,54,5.47,LY,1684515706
140,aginskoye,51.1,114.53,9.19,65,100,6.5,RU,1684516188
141,margaret river,-33.95,115.0667,12.9,78,0,3.83,AU,1684516188
142,christchurch,-43.5333,172.6333,10.51,92,100,4.63,NZ,1684515870
143,wailua homesteads,22.0669,-159.378,21.44,92,100,1.54,US,1684516188
144,okhotsk,59.3833,143.3,2.28,86,100,1.56,RU,1684515652
145,iranshahr,27.2025,60.6848,34.52,15,8,5.52,IR,1684516189
146,kodiak,57.79,-152.4072,6.73,93,100,3.6,US,1684516189
147,kapa'a,22.0752,-159.319,22.18,90,100,1.54,US,1684516189
148,priargunsk,50.3691,119.1012,14.14,31,100,10.71,RU,1684516190
149,santo tome,-31.6627,-60.7653,21.66,91,97,0.89,AR,1684516190
150,dalandzadgad,43.5708,104.425,4.76,15,47,3.2,MN,1684516190
151,elko,41.0002,-115.5012,19.8,55,0,3.58,US,1684515950
152,trairi,-3.2778,-39.2689,29.06,72,97,4.79,BR,1684516166
153,akjoujt,19.6969,-14.4164,34.91,10,15,6.33,MR,1684516191
154,tongren,27.7172,109.1853,20.74,89,98,0.52,CN,1684516191
155,stephenville,32.2207,-98.2023,29.76,63,0,4.63,US,1684516191
156,tangalle,6.024,80.7911,25.94,87,28,3.47,LK,1684516191
157,gabes,33.8815,10.0982,22.43,69,9,4.4,TN,1684516192
158,thompson,55.7435,-97.8558,20.38,23,56,6.17,CA,1684516192
159,ciudad lazaro cardenas,17.9583,-102.2,32.18,49,95,3.19,MX,1684516192
160,belmonte,-15.8631,-38.8828,27.69,45,3,3.48,BR,1684515655
161,sirjan,29.452,55.6814,23.68,30,93,7.66,IR,1684516192
162,nasir,15.5894,32.5634,38.33,9,0,5.17,SD,1684516193
163,pacific grove,36.6177,-121.9166,16.01,91,100,4.47,US,1684516059
164,cidreira,-30.1811,-50.2056,21.51,62,49,2.74,BR,1684516193
165,abilene,32.4487,-99.7331,28.93,56,0,3.09,US,1684515911
166,slave lake,55.2834,-114.769,10.99,62,100,3.09,CA,1684515638
167,adrar,20.5022,-10.0711,32.4,10,38,5.97,MR,1684516194
168,wanning,18.8003,110.3967,26.92,88,10,3.28,CN,1684516194
169,aracuai,-16.8497,-42.0703,30.56,28,0,0.76,BR,1684516194
170,canton,23.1167,113.25,27.97,80,88,2.68,CN,1684516154
171,severoural'sk,60.1533,59.952,10.72,47,67,2.29,RU,1684516195
172,anna regina,7.2644,-58.5077,25.62,90,97,4.74,GY,1684516195
173,ilulissat,69.2167,-51.1,3.01,81,75,4.12,GL,1684516195
174,east london,-33.0153,27.9116,11.52,82,0,2.06,ZA,1684515659
175,afaahiti,-17.75,-149.2833,24.93,80,77,4.72,PF,1684516196
176,severo-yeniseyskiy,60.3725,93.0408,1.47,99,100,1.73,RU,1684516196
177,esperanza,19.5847,-70.9849,32.32,65,0,3.13,DO,1684516196
178,kolokani,13.5728,-8.0339,35.5,31,90,1.49,ML,1684516196
179,qaqortoq,60.7167,-46.0333,0.97,93,84,7.94,GL,1684516197
180,badiyah,22.45,58.8,36.36,25,68,0.88,OM,1684516197
